source,target,realValue,layerID,layerColor,layerUnit
NG,Elec,170.73,NG,#FFD700,TWh
Nuclear,Elec,52.06,Nuclear,#FFC0CB,TWh
Wind,Elec,87.62,Wind,#FFA500,TWh
Hydro Dams,Elec,18.46,Hydro Dam,#00CED1,TWh
Hydro River,Elec,5.98,Hydro River,#0000FF,TWh
Coal,Elec,135.87,Coal,#A0522D,TWh
Solar,Elec,64.48,Solar,#FFFF00,TWh
Geothermal,Elec,13.73,Geothermal,#FF0000,TWh
Elec,Exp & Loss,38.42,Electricity,#00BFFF,TWh
Elec,Elec: HOUSEHOLDS,85.60,Electricity,#00BFFF,TWh
Elec,Elec: SERVICES,111.50,Electricity,#00BFFF,TWh
Elec,Elec: INDUSTRY,288.90,Electricity,#00BFFF,TWh
Elec,Elec: TRANSPORTATION,24.50,Electricity,#00BFFF,TWh
