Name	1	2	3	4	5	6	7	8	9	10	11	12
Nuclear	5208.000	4704.000	988.680	5040.000	5208.000	0.000	5208.000	5208.000	5040.000	5208.000	5040.000	5208.000
NG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75.000	0.000	0.000
Coal	13392.000	12096.000	13392.000	6840.000	9683.280	6120.000	13392.000	8248.320	12960.000	13392.000	12960.000	13392.000
Hydro Dams	2085.441	1931.255	1604.540	1738.489	1770.487	1628.866	1638.467	1460.225	1335.102	1077.256	1142.630	1047.244
Hydro River	675.029	625.121	519.367	562.725	573.082	527.242	530.349	472.655	432.154	348.693	369.853	338.979
Wind	10505.040	8155.668	9117.582	5690.496	5681.971	4390.420	4823.069	4382.606	5072.427	9029.489	9803.851	10967.526
Solar	2558.244	4123.661	5824.925	7160.544	7556.659	7350.984	7950.236	7556.659	5979.816	4250.621	2437.632	1731.734
Geothermal	1267.776	1145.088	1267.776	1226.880	1267.776	1226.880	1267.776	1267.776	1226.880	1267.776	32.717	1267.776
Electricity	3541.347	357.115	6518.007	9708.165	5642.048	16722.908	4422.981	8092.156	3458.521	2039.562	6180.617	5279.618
CHP	0.000	2298.240	0.000	0.000	1849.573	0.000	0.000	2544.480	2462.400	2544.480	0.000	0.000
